,상품제목,가격,할인율,리뷰평점,리뷰개수,썸네일
0,"[4만7천장돌파🙏기본자켓의가치!]주인공 시크블랙JK (어깨패드,싱글,모던,클래식)","29,900원",할인 정보 없음,4.4,6168,https://cf.product-image.s.zigzag.kr/original/c/10/042/523/100425236-3633297395446861567.gif?width=400&height=400&quality=80&format=jpeg
1,(DEJOU!) 프리미엄-블레이저JK-베이직핏 (2colors!),"33,500원",할인 정보 없음,4.3,5297,https://cf.product-image.s.zigzag.kr/original/d/2023/5/22/207_202305221655430547_66783.gif?width=400&height=400&quality=80&format=jpeg
2,[6만장돌파] [my favorite] 페이보릿 클래식 (jk)* 베스트 상품 재진행단독주문시 당일발송,"59,980원",13%,4.7,4993,https://cf.product-image.s.zigzag.kr/original/c/10/046/821/100468216-4732839681580362252.gif?width=400&height=400&quality=80&format=jpeg
3,[가을🍂자켓 13만장 돌파][Made Lauren]클래식 싱글 미디 자켓,"43,900원",24%,4.6,4439,https://cf.product-image.s.zigzag.kr/original/c/10/011/949/100119491-4852608111348415621.gif?width=400&height=400&quality=80&format=jpeg
4,(DEJOU!) 프리미엄-블레이저JK-루즈핏,"35,500원",할인 정보 없음,4.5,3840,https://cf.product-image.s.zigzag.kr/original/d/2023/5/22/207_202305221657430661_33847.gif?width=400&height=400&quality=80&format=jpeg
5,[4만장판매/MADE] 오브 베이직 미디 자켓 - 3 color,"53,000원",33%,4.7,2685,https://cf.product-image.s.zigzag.kr/original/d/2023/8/29/4220_202308291057100210_99418.gif?width=400&height=400&quality=80&format=jpeg
6,[98project/1만장돌파] 메이 스탠다드 포멀 자켓 - 2 color,"59,500원",15%,4.7,2472,https://cf.product-image.s.zigzag.kr/original/c/10/011/735/100117350-4079292640266603353.gif?width=400&height=400&quality=80&format=jpeg
7,[가을🍂1만4천장 돌파][Made Lauren]델라 오버핏 싱글 미디 자켓 - 4 color,"59,800원",9%,4.7,2287,https://cf.product-image.s.zigzag.kr/original/c/10/816/916/108169163-1008052647638880175.gif?width=400&height=400&quality=80&format=jpeg
8,[오늘출발🚚] #SLOWMADE. 놈코어 미니멀 블루종자켓 - 4 color,"55,000원",10%,4.7,2272,https://cf.product-image.s.zigzag.kr/original/c/10/563/361/105633613-8232589459736615844.gif?width=400&height=400&quality=80&format=jpeg
9,[1만9천장 돌파][Made Lauren]프링 린넨 반팔 숏 자켓 - 4 color,"44,600원",11%,4.6,2147,https://cf.product-image.s.zigzag.kr/original/c/10/045/547/100455475-2581005739602041133.gif?width=400&height=400&quality=80&format=jpeg
10,"[5만장돌파,아우터1위❤️] [ordinaire] 위드 울 코트자켓 (4color/S-M) (울자켓, 숏코트 추천)","138,500원",15%,4.7,1996,https://cf.product-image.s.zigzag.kr/original/c/10/881/753/108817533-5577526268759326149.gif?width=400&height=400&quality=80&format=jpeg
11,[무료배송/6천장돌파] #SLOWMADE. 이너프 탄탄싱글 세미크롭자켓 - 3 color,"62,000원",5%,4.7,1840,https://cf.product-image.s.zigzag.kr/original/c/11/061/318/110613186-3310714787690189927.gif?width=400&height=400&quality=80&format=jpeg
12,[🏆누적판매2만장🏆][MADE] 제스티 테일러드더블자켓[44~110] (가을-베스트-직장인룩-데일리룩-체형커버-빅사이즈자켓-아우터-간절기룩-출근룩),"32,800원",할인 정보 없음,4.6,1648,https://cf.product-image.s.zigzag.kr/original/c/10/048/430/100484304-6360200019911745987.gif?width=400&height=400&quality=80&format=jpeg
13,[유투버PICK][누적1만장]라운드넥 숏 트위드 자켓 MIWJKD31PG,"76,420원",24%,4.8,1622,https://cf.product-image.s.zigzag.kr/original/d/2023/10/19/11864_202310191555130694_99499.gif?width=400&height=400&quality=80&format=jpeg
14,(DEJOU!) 프리미엄-블레이저JK-루즈핏 (차콜그레이),"35,500원",할인 정보 없음,4.5,1570,https://cf.product-image.s.zigzag.kr/original/d/2023/5/22/207_202305221658080742_67416.gif?width=400&height=400&quality=80&format=jpeg
15,매시즌 찾게되는 [MD추천/오버핏]코튼 야상 자켓,"35,900원",할인 정보 없음,4.6,1413,https://cf.product-image.s.zigzag.kr/original/d/2022/2/8/4600_202202081629090533_21213.gif?width=400&height=400&quality=80&format=jpeg
16,[evermore] 르메울코트JK (3color),"153,000원",할인 정보 없음,4.8,1401,https://cf.product-image.s.zigzag.kr/original/c/10/944/376/109443764-6964119752284237830.gif?width=400&height=400&quality=80&format=jpeg
17,하객룩🖤 [ordinaire] 나이브 노카라자켓 (2color),"77,000원",할인 정보 없음,4.8,1329,https://cf.product-image.s.zigzag.kr/original/d/2023/3/14/3548_202303141538590905_53773.gif?width=400&height=400&quality=80&format=jpeg
